City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,puerto ayora,EC,69.01,overcast clouds,-0.74,-90.35,Puerto Ayora
12,saint george,US,66.2,clear sky,37.1,-113.58,St. George
13,aguimes,ES,71.6,clear sky,27.91,-15.45,"Ingenio, Las Palmas"
14,rikitea,PF,73.85,overcast clouds,-23.12,-134.97,Rikitea
15,cabo san lucas,MX,79.0,clear sky,22.89,-109.91,Cabo San Lucas
16,camocim,BR,77.92,broken clouds,-2.9,-40.84,Camocim
17,avarua,CK,78.8,light rain,-21.21,-159.78,Avarua District
18,kisangani,CD,69.6,light rain,0.52,25.2,Kisangani
28,carnarvon,AU,73.4,scattered clouds,-24.87,113.63,Carnarvon
33,bilma,NE,66.97,clear sky,18.69,12.92,Bilma
36,mindelo,CV,77.0,few clouds,16.89,-24.98,Mindelo
41,tura,IN,76.64,overcast clouds,25.52,90.22,Tura
42,faanui,PF,79.97,light rain,-16.48,-151.75,Vaitape
43,atuona,PF,77.45,light rain,-9.8,-139.03,Atuona
47,cayenne,GF,75.2,light rain,4.93,-52.33,Cayenne
50,basco,PH,79.86,overcast clouds,20.45,121.97,Basco
55,grand gaube,MU,71.01,broken clouds,-20.01,57.66,Goodlands
58,rosarito,MX,69.8,clear sky,32.33,-117.03,Rosarito
59,surt,LY,69.03,clear sky,31.21,16.59,Sirte
60,hobyo,SO,79.81,clear sky,5.35,48.53,Hobyo
65,hit,IQ,68.63,overcast clouds,33.64,42.83,Hit
79,sao filipe,CV,78.51,overcast clouds,14.9,-24.5,Sao Filipe
80,vao,NC,74.7,overcast clouds,-22.67,167.48,Vao
83,arraial do cabo,BR,68.43,clear sky,-22.97,-42.03,Cabo Frio
84,takoradi,GH,77.36,broken clouds,4.88,-1.76,Takoradi
85,santiago del estero,AR,69.1,broken clouds,-27.8,-64.26,Santiago del Estero
88,geraldton,AU,68.0,broken clouds,-28.77,114.6,Geraldton
91,pilar,BR,75.2,clear sky,-9.6,-35.96,Pilar
93,shimoda,JP,69.8,broken clouds,34.67,138.95,Shimoda
94,alofi,NU,78.8,broken clouds,-19.06,-169.92,Alofi
95,san quintin,MX,66.31,clear sky,30.48,-115.95,Lázaro Cárdenas
100,arlit,NE,69.3,clear sky,18.74,7.39,Arlit
102,bat yam,IL,71.6,scattered clouds,32.02,34.75,Tel Aviv-Yafo
103,bambous virieux,MU,71.01,scattered clouds,-20.34,57.76,Vieux Grand Port
104,maceio,BR,75.2,clear sky,-9.67,-35.74,Maceió
106,teguise,ES,68.0,clear sky,29.06,-13.56,Teguise
110,coari,BR,76.57,broken clouds,-4.08,-63.14,Coari
111,erzin,TR,66.99,broken clouds,36.96,36.2,Erzin
112,pacifica,US,66.0,broken clouds,37.61,-122.49,Daly City
114,lafia,NG,74.12,overcast clouds,8.48,8.52,Lafia
117,bwanga,TZ,65.53,light rain,-3.03,31.76,Bwanga
121,laguna,US,68.0,clear sky,38.42,-121.42,Sacramento
122,bonthe,SL,77.92,moderate rain,7.53,-12.51,Bonthe
124,hukuntsi,BW,71.08,scattered clouds,-24.0,21.75,Hukuntsi
125,aripuana,BR,70.77,overcast clouds,-9.17,-60.63,Aripuanã
129,carutapera,BR,77.88,scattered clouds,-1.2,-46.02,Carutapera
135,carauari,BR,72.91,moderate rain,-4.88,-66.9,Carauari
136,sao joao da barra,BR,67.12,overcast clouds,-21.64,-41.05,Grussaí
139,codrington,AU,74.89,clear sky,-38.27,141.97,Yambuk
