City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,norman wells,CA,65.28,-126.83,3.2,84,75,3.36,broken clouds,2020-11-02 02:42:34
1,port alfred,ZA,-33.59,26.89,64.62,82,26,17.25,scattered clouds,2020-11-02 02:42:34
2,puerto ayora,EC,-0.74,-90.35,69.01,91,100,4.0,overcast clouds,2020-11-02 02:42:34
3,bluff,NZ,-46.6,168.33,55.99,61,48,10.0,scattered clouds,2020-11-02 02:42:34
4,cidreira,BR,-30.18,-50.21,61.47,64,2,6.08,clear sky,2020-11-02 02:42:34
5,hobart,AU,-42.88,147.33,81.0,40,0,9.17,clear sky,2020-11-02 02:42:34
6,barcelos,PT,41.54,-8.62,64.4,100,90,10.29,mist,2020-11-02 02:42:34
7,bredasdorp,ZA,-34.53,20.04,64.4,82,100,13.87,overcast clouds,2020-11-02 02:37:58
8,sitka,US,57.05,-135.33,50.0,87,90,25.28,heavy intensity rain,2020-11-02 02:42:34
9,lamar,US,33.67,-95.58,50.0,57,1,5.82,clear sky,2020-11-02 02:50:58
10,narsaq,GL,60.92,-46.05,23.0,73,0,4.7,clear sky,2020-11-02 02:50:58
11,vaini,TO,-21.2,-175.2,80.6,78,20,13.87,few clouds,2020-11-02 02:50:58
12,saint george,US,37.1,-113.58,66.2,14,1,6.93,clear sky,2020-11-02 02:46:04
13,aguimes,ES,27.91,-15.45,71.6,60,0,16.11,clear sky,2020-11-02 02:50:58
14,rikitea,PF,-23.12,-134.97,73.85,86,91,24.32,overcast clouds,2020-11-02 02:46:33
15,cabo san lucas,MX,22.89,-109.91,79.0,72,0,5.66,clear sky,2020-11-02 02:50:58
16,camocim,BR,-2.9,-40.84,77.92,86,64,8.84,broken clouds,2020-11-02 02:50:58
17,avarua,CK,-21.21,-159.78,78.8,83,93,17.22,light rain,2020-11-02 02:50:58
18,kisangani,CD,0.52,25.2,69.6,98,100,1.5,light rain,2020-11-02 02:50:58
19,qaanaaq,GL,77.48,-69.36,3.0,75,0,6.51,clear sky,2020-11-02 02:50:58
20,punta arenas,CL,-53.15,-70.92,51.8,76,0,4.7,clear sky,2020-11-02 02:50:59
21,saskylakh,RU,71.92,114.08,-7.29,89,93,10.51,overcast clouds,2020-11-02 02:50:59
22,deputatskiy,RU,69.3,139.9,-14.17,88,38,5.88,scattered clouds,2020-11-02 02:50:59
23,ust-tarka,RU,55.57,75.7,33.17,91,100,10.13,overcast clouds,2020-11-02 02:50:51
24,bethel,US,41.37,-73.41,46.4,61,90,9.17,overcast clouds,2020-11-02 02:47:14
25,roald,NO,62.58,6.13,51.8,57,69,11.41,broken clouds,2020-11-02 02:46:44
26,nikolskoye,RU,59.7,30.79,35.6,93,90,6.71,overcast clouds,2020-11-02 02:50:59
27,new norfolk,AU,-42.78,147.06,81.0,23,100,4.0,overcast clouds,2020-11-02 02:46:34
28,carnarvon,AU,-24.87,113.63,73.4,49,40,16.11,scattered clouds,2020-11-02 02:50:59
29,jamestown,US,42.1,-79.24,35.01,86,90,18.34,overcast clouds,2020-11-02 02:50:59
30,ribeira grande,PT,38.52,-28.7,62.73,75,38,18.81,scattered clouds,2020-11-02 02:51:00
31,talas,TR,38.69,35.55,42.8,70,75,1.03,broken clouds,2020-11-02 02:51:00
32,middelburg,ZA,-25.78,29.46,55.92,80,99,3.09,overcast clouds,2020-11-02 02:51:00
33,bilma,NE,18.69,12.92,66.97,30,0,11.56,clear sky,2020-11-02 02:51:00
34,castro,BR,-24.79,-50.01,50.34,92,41,10.29,scattered clouds,2020-11-02 02:46:39
35,ushuaia,AR,-54.8,-68.3,57.2,54,75,4.7,broken clouds,2020-11-02 02:51:00
36,mindelo,CV,16.89,-24.98,77.0,73,20,12.75,few clouds,2020-11-02 02:51:00
37,port-cartier,CA,50.03,-66.87,39.2,86,100,3.36,overcast clouds,2020-11-02 02:51:00
38,thompson,CA,55.74,-97.86,21.2,92,75,6.42,broken clouds,2020-11-02 02:51:01
39,shihezi,CN,44.3,86.03,43.48,56,0,0.4,clear sky,2020-11-02 02:51:01
40,cape town,ZA,-33.93,18.42,62.6,72,0,10.29,clear sky,2020-11-02 02:51:01
41,tura,IN,25.52,90.22,76.64,83,98,1.77,overcast clouds,2020-11-02 02:51:01
42,faanui,PF,-16.48,-151.75,79.97,81,0,18.32,light rain,2020-11-02 02:51:01
43,atuona,PF,-9.8,-139.03,77.45,79,79,13.65,light rain,2020-11-02 02:51:01
44,busselton,AU,-33.65,115.33,60.01,83,95,4.83,overcast clouds,2020-11-02 02:46:37
45,oriximina,BR,-1.77,-55.87,81.18,65,89,4.12,overcast clouds,2020-11-02 02:51:02
46,albany,US,42.6,-73.97,41.0,73,100,3.0,overcast clouds,2020-11-02 02:47:56
47,cayenne,GF,4.93,-52.33,75.2,100,99,3.36,light rain,2020-11-02 02:51:02
48,ekhabi,RU,53.51,142.97,44.76,93,100,13.69,overcast clouds,2020-11-02 02:51:02
49,tuatapere,NZ,-46.13,167.68,55.99,65,16,11.99,few clouds,2020-11-02 02:50:07
50,basco,PH,20.45,121.97,79.86,80,100,28.86,overcast clouds,2020-11-02 02:51:02
51,hualmay,PE,-11.1,-77.61,60.87,87,20,8.3,few clouds,2020-11-02 02:51:02
52,east london,ZA,-33.02,27.91,64.13,83,34,15.79,scattered clouds,2020-11-02 02:51:02
53,ardmore,US,34.17,-97.14,54.0,75,1,4.85,haze,2020-11-02 02:47:04
54,nemuro,JP,43.32,145.57,62.6,67,75,21.92,light intensity shower rain,2020-11-02 02:51:02
55,grand gaube,MU,-20.01,57.66,71.01,65,63,1.99,broken clouds,2020-11-02 02:46:56
56,lebowakgomo,ZA,-24.2,29.5,57.2,93,67,5.82,broken clouds,2020-11-02 02:51:03
57,veraval,IN,20.9,70.37,81.3,37,0,13.42,clear sky,2020-11-02 02:51:03
