City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Souillac,MU,2020-10-31 15:56:34,-20.52,57.52,69.8,68,40,10.29
1,Busselton,AU,2020-10-31 15:56:34,-33.65,115.33,63.0,66,100,13.58
2,Neiafu,TO,2020-10-31 15:56:35,-18.65,-173.98,75.2,94,40,11.41
3,Punta Arenas,CL,2020-10-31 15:56:35,-53.15,-70.92,51.8,71,0,9.17
4,Pisco,PE,2020-10-31 15:54:18,-13.7,-76.22,66.2,77,40,8.05
5,Atuona,PF,2020-10-31 15:56:35,-9.8,-139.03,78.13,76,18,18.39
6,Carnarvon,AU,2020-10-31 15:56:35,-24.87,113.63,69.8,88,90,9.17
7,Fortuna,US,2020-10-31 15:54:16,40.6,-124.16,44.6,93,1,9.17
8,Ossora,RU,2020-10-31 15:56:35,59.24,163.07,32.45,96,100,2.46
9,Avarua,CK,2020-10-31 15:52:57,-21.21,-159.78,73.4,83,100,11.41
10,Vila Velha,BR,2020-10-31 15:56:34,-20.33,-40.29,73.4,88,75,2.24
11,Puerto Madryn,AR,2020-10-31 15:56:36,-42.77,-65.04,80.89,16,0,6.15
12,Angoche,MZ,2020-10-31 15:56:36,-16.23,39.91,79.25,73,16,7.54
13,Hithadhoo,MV,2020-10-31 15:56:36,-0.6,73.08,83.84,71,94,7.72
14,Taltal,CL,2020-10-31 15:56:36,-25.4,-70.48,64.35,58,48,7.49
15,Jamestown,US,2020-10-31 15:56:36,42.1,-79.24,37.99,74,90,6.93
16,Bredasdorp,ZA,2020-10-31 15:56:36,-34.53,20.04,66.2,48,0,13.87
17,Mataura,NZ,2020-10-31 15:52:57,-46.19,168.86,43.0,88,5,1.99
18,Baykit,RU,2020-10-31 15:52:56,61.67,96.37,1.24,89,15,1.99
19,Saint-Philippe,RE,2020-10-31 15:56:37,-21.36,55.77,69.8,60,75,4.7
20,Tasiilaq,GL,2020-10-31 15:56:37,65.61,-37.64,32.0,95,90,2.24
21,Bambous Virieux,MU,2020-10-31 15:53:09,-20.34,57.76,69.8,68,40,10.29
22,Vaini,TO,2020-10-31 15:56:37,-21.2,-175.2,73.4,83,40,12.75
23,Gamba,GA,2020-10-31 15:56:37,-2.65,10.0,79.32,82,99,8.59
24,Ushuaia,AR,2020-10-31 15:56:37,-54.8,-68.3,55.4,54,40,3.36
25,Arraial Do Cabo,BR,2020-10-31 15:56:37,-22.97,-42.03,69.8,94,90,8.05
26,Longyearbyen,SJ,2020-10-31 15:56:37,78.22,15.64,21.2,73,75,3.36
27,Houma,US,2020-10-31 15:56:22,29.6,-90.72,64.0,87,40,6.93
28,Bandar-E Lengeh,IR,2020-10-31 15:53:12,26.56,54.88,78.8,78,0,7.29
29,Pobe,BJ,2020-10-31 15:56:38,6.98,2.66,86.68,65,30,1.95
30,Nemuro,JP,2020-10-31 15:56:38,43.32,145.57,47.01,67,53,6.29
31,Zuya,UA,2020-10-31 15:56:38,45.05,34.32,50.22,84,100,5.95
32,Englewood,US,2020-10-31 15:56:38,39.65,-104.99,57.0,25,20,3.36
33,Imbituba,BR,2020-10-31 15:56:38,-28.24,-48.67,68.0,64,75,8.05
34,Port Elizabeth,ZA,2020-10-31 15:56:38,-33.92,25.57,66.2,68,0,6.93
35,Ribeira Grande,PT,2020-10-31 15:52:59,38.52,-28.7,69.8,94,75,18.34
36,Alofi,NU,2020-10-31 15:56:38,-19.06,-169.92,73.4,94,89,9.17
37,Naze,JP,2020-10-31 15:56:39,28.37,129.48,71.6,56,20,8.05
38,New Norfolk,AU,2020-10-31 15:56:39,-42.78,147.06,53.01,69,64,2.37
39,Mattru,SL,2020-10-31 15:56:39,7.62,-11.83,85.26,70,72,3.96
40,Atherton,GB,2020-10-31 15:56:39,53.52,-2.49,55.99,60,95,5.01
41,Tshikapa,CD,2020-10-31 15:56:39,-6.42,20.8,81.41,75,68,1.14
42,Port Alfred,ZA,2020-10-31 15:52:57,-33.59,26.89,65.91,72,84,16.2
43,Upernavik,GL,2020-10-31 15:56:39,72.79,-56.15,16.48,95,64,10.67
44,Mangan,IN,2020-10-31 15:56:39,27.52,88.53,67.96,27,60,7.7
45,Beringovskiy,RU,2020-10-31 15:56:39,63.05,179.32,19.49,92,100,11.1
46,Menongue,AO,2020-10-31 15:56:40,-14.66,17.69,79.16,41,89,2.77
47,Hirtshals,DK,2020-10-31 15:55:50,57.59,9.96,52.0,92,16,4.0
48,Chiungutwa,TZ,2020-10-31 15:56:40,-10.88,38.98,77.68,68,58,6.8
49,Tarumovka,RU,2020-10-31 15:56:40,44.08,46.54,58.59,90,99,9.84
50,Faanui,PF,2020-10-31 15:56:40,-16.48,-151.75,78.57,76,33,19.17
51,San Patricio,US,2020-10-31 15:56:40,28.02,-97.52,69.01,68,20,5.82
52,Paita,PE,2020-10-31 15:56:40,-5.09,-81.11,71.6,73,40,12.75
53,Victoria,HK,2020-10-31 15:56:40,22.29,114.16,73.99,77,1,3.0
54,Mbini,GQ,2020-10-31 15:56:41,1.57,9.61,80.6,94,40,4.7
55,Matara,LK,2020-10-31 15:53:07,5.95,80.54,78.42,84,3,6.2
56,Beira,MZ,2020-10-31 15:55:50,-19.84,34.84,78.8,78,20,18.34
57,Hermanus,ZA,2020-10-31 15:52:59,-34.42,19.23,66.0,58,0,8.99
58,Broken Hill,AU,2020-10-31 15:53:11,-31.95,141.43,53.6,81,0,11.05
59,Cidreira,BR,2020-10-31 15:56:41,-30.18,-50.21,67.68,60,90,9.35
60,Shepsi,RU,2020-10-31 15:56:41,44.04,39.15,63.25,73,98,12.1
61,Saskylakh,RU,2020-10-31 15:56:41,71.92,114.08,-4.22,83,0,5.97
62,Ust-Nera,RU,2020-10-31 15:56:41,64.57,143.2,-4.04,82,100,1.36
63,Shimoda,JP,2020-10-31 15:56:41,34.67,138.95,46.99,83,0,8.61
64,Castro,BR,2020-10-31 15:56:42,-24.79,-50.01,61.0,77,100,6.04
65,Atar,MR,2020-10-31 15:53:15,20.52,-13.05,100.4,18,0,9.17
66,Chuy,UY,2020-10-31 15:53:06,-33.7,-53.46,65.12,61,43,7.87
67,Iqaluit,CA,2020-10-31 15:56:42,63.75,-68.51,19.4,79,75,8.05
68,Xuddur,SO,2020-10-31 15:56:42,4.12,43.89,77.14,75,41,8.21
69,Haines Junction,CA,2020-10-31 15:53:56,60.75,-137.51,14.0,85,100,3.31
70,Albany,US,2020-10-31 15:55:51,42.6,-73.97,37.0,92,20,2.93
71,Wanning,CN,2020-10-31 15:56:42,18.8,110.4,73.67,84,23,8.37
72,Madisonville,US,2020-10-31 15:56:42,37.33,-87.5,55.4,54,1,5.82
73,Riyadh,SA,2020-10-31 15:56:43,24.69,46.72,78.8,24,0,4.7
74,Waingapu,ID,2020-10-31 15:56:43,-9.66,120.26,80.8,70,100,4.72
75,Zhezkazgan,KZ,2020-10-31 15:54:16,47.8,67.71,41.65,58,1,8.16
76,Zyryanskoye,RU,2020-10-31 15:56:43,56.83,86.63,33.57,94,100,8.93
77,Pevek,RU,2020-10-31 15:56:43,69.7,170.31,12.7,97,100,10.04
78,Uyuni,BO,2020-10-31 15:56:43,-20.46,-66.83,56.71,22,58,11.36
79,Cockburn Town,TC,2020-10-31 15:56:43,21.46,-71.14,82.76,80,91,17.65
80,Arlit,NE,2020-10-31 15:56:43,18.74,7.39,89.4,13,0,22.32
81,Bluff,NZ,2020-10-31 15:56:43,-46.6,168.33,43.0,88,43,1.99
82,Hovd,MN,2020-10-31 15:56:43,48.01,91.64,28.0,84,0,1.97
83,Ust-Tsilma,RU,2020-10-31 15:56:44,65.44,52.15,34.07,90,99,9.8
84,Cao Bang,VN,2020-10-31 15:56:44,22.67,106.25,70.48,86,77,0.36
85,Northam,GB,2020-10-31 15:56:44,51.03,-4.22,52.0,80,86,15.99
86,Port-Cartier,CA,2020-10-31 15:56:44,50.03,-66.87,30.0,50,0,9.17
87,Rikitea,PF,2020-10-31 15:56:44,-23.12,-134.97,74.86,71,8,7.61
88,Namestovo,SK,2020-10-31 15:56:44,49.41,19.48,43.0,84,1,5.01
89,Kapaa,US,2020-10-31 15:52:58,22.08,-159.32,69.8,94,75,5.82
90,Dikson,RU,2020-10-31 15:56:44,73.51,80.55,16.5,97,100,17.13
91,Thompson,CA,2020-10-31 15:52:58,55.74,-97.86,14.0,85,90,18.34
92,Krasnoselkup,RU,2020-10-31 15:56:45,65.7,82.47,33.67,96,100,23.2
93,Assiniboia,CA,2020-10-31 15:56:45,49.63,-105.98,32.0,87,62,34.45
94,Port Hueneme,US,2020-10-31 15:53:54,34.15,-119.2,51.8,50,1,1.99
95,Camana,PE,2020-10-31 15:56:45,-16.62,-72.71,68.58,67,96,8.59
96,Kavieng,PG,2020-10-31 15:56:45,-2.57,150.8,83.14,75,86,8.88
97,Dakar,SN,2020-10-31 15:56:14,14.69,-17.44,84.2,66,0,19.46
98,Rincon,US,2020-10-31 15:56:45,32.3,-81.24,66.99,63,20,12.75
99,Bucak,TR,2020-10-31 15:56:45,37.46,30.59,71.6,50,0,9.17
100,Placido De Castro,BR,2020-10-31 15:56:45,-10.34,-67.19,79.88,50,97,6.6
101,Bayanday,RU,2020-10-31 15:56:45,53.07,105.51,19.85,87,78,12.71
102,Ambilobe,MG,2020-10-31 15:56:46,-13.2,49.05,75.7,57,86,7.54
